,GeoName,Description,Year,PriceParity
0,Alabama,All items,2008,87.6
1,Alabama,All items,2009,87.5
2,Alabama,All items,2010,87.9
3,Alabama,All items,2011,87.7
4,Alabama,All items,2012,88.1
5,Alabama,All items,2013,87.8
6,Alabama,All items,2014,87.1
7,Alabama,All items,2015,86.8
8,Alabama,All items,2016,86.1
9,Alabama,All items,2017,85.5
10,Alabama,All items,2018,85.9
11,Alabama,All items,2019,85.8
12,Alabama,Goods,2008,97.6
13,Alabama,Goods,2009,97.6
14,Alabama,Goods,2010,96.6
15,Alabama,Goods,2011,96.3
16,Alabama,Goods,2012,96.2
17,Alabama,Goods,2013,96.0
18,Alabama,Goods,2014,96.2
19,Alabama,Goods,2015,96.4
20,Alabama,Goods,2016,96.1
21,Alabama,Goods,2017,95.7
22,Alabama,Goods,2018,95.9
23,Alabama,Goods,2019,95.9
24,Alabama,Services: Other,2008,93.6
25,Alabama,Services: Other,2009,93.2
26,Alabama,Services: Other,2010,93.2
27,Alabama,Services: Other,2011,93.5
28,Alabama,Services: Other,2012,93.7
29,Alabama,Services: Other,2013,94.0
30,Alabama,Services: Other,2014,93.3
31,Alabama,Services: Other,2015,93.3
32,Alabama,Services: Other,2016,91.8
33,Alabama,Services: Other,2017,90.4
34,Alabama,Services: Other,2018,90.3
35,Alabama,Services: Other,2019,90.3
36,Alabama,Services: Rents,2008,63.9
37,Alabama,Services: Rents,2009,63.7
38,Alabama,Services: Rents,2010,63.8
39,Alabama,Services: Rents,2011,63.1
40,Alabama,Services: Rents,2012,64.4
41,Alabama,Services: Rents,2013,63.6
42,Alabama,Services: Rents,2014,63.8
43,Alabama,Services: Rents,2015,62.8
44,Alabama,Services: Rents,2016,63.1
45,Alabama,Services: Rents,2017,63.1
46,Alabama,Services: Rents,2018,61.8
47,Alabama,Services: Rents,2019,61.9
48,Alaska,All items,2008,106.9
49,Alaska,All items,2009,106.9
50,Alaska,All items,2010,105.5
51,Alaska,All items,2011,105.1
52,Alaska,All items,2012,105.4
53,Alaska,All items,2013,104.9
54,Alaska,All items,2014,106.3
55,Alaska,All items,2015,105.5
56,Alaska,All items,2016,105.7
57,Alaska,All items,2017,105.9
58,Alaska,All items,2018,105.7
59,Alaska,All items,2019,105.1
60,Alaska,Goods,2008,102.8
61,Alaska,Goods,2009,102.8
62,Alaska,Goods,2010,102.5
63,Alaska,Goods,2011,101.9
64,Alaska,Goods,2012,101.3
65,Alaska,Goods,2013,101.1
66,Alaska,Goods,2014,101.3
67,Alaska,Goods,2015,101.7
68,Alaska,Goods,2016,101.8
69,Alaska,Goods,2017,102.2
70,Alaska,Goods,2018,102.3
71,Alaska,Goods,2019,102.3
72,Alaska,Services: Other,2008,101.8
73,Alaska,Services: Other,2009,100.4
74,Alaska,Services: Other,2010,99.2
75,Alaska,Services: Other,2011,98.2
76,Alaska,Services: Other,2012,97.3
77,Alaska,Services: Other,2013,97.2
78,Alaska,Services: Other,2014,96.7
79,Alaska,Services: Other,2015,95.8
80,Alaska,Services: Other,2016,96.9
81,Alaska,Services: Other,2017,98.5
82,Alaska,Services: Other,2018,99.1
83,Alaska,Services: Other,2019,99.1
84,Alaska,Services: Rents,2008,133.8
85,Alaska,Services: Rents,2009,139.3
86,Alaska,Services: Rents,2010,133.0
87,Alaska,Services: Rents,2011,136.8
88,Alaska,Services: Rents,2012,141.9
89,Alaska,Services: Rents,2013,138.9
90,Alaska,Services: Rents,2014,144.4
91,Alaska,Services: Rents,2015,139.4
92,Alaska,Services: Rents,2016,137.4
93,Alaska,Services: Rents,2017,132.0
94,Alaska,Services: Rents,2018,125.9
95,Alaska,Services: Rents,2019,122.3
96,Arizona,All items,2008,100.6
97,Arizona,All items,2009,100.1
98,Arizona,All items,2010,98.6
99,Arizona,All items,2011,97.9
100,Arizona,All items,2012,97.1
101,Arizona,All items,2013,96.5
102,Arizona,All items,2014,96.0
103,Arizona,All items,2015,96.1
104,Arizona,All items,2016,95.8
105,Arizona,All items,2017,95.9
106,Arizona,All items,2018,96.4
107,Arizona,All items,2019,96.3
108,Arizona,Goods,2008,101.2
109,Arizona,Goods,2009,101.0
110,Arizona,Goods,2010,100.6
111,Arizona,Goods,2011,99.4
112,Arizona,Goods,2012,98.6
113,Arizona,Goods,2013,98.1
114,Arizona,Goods,2014,97.5
115,Arizona,Goods,2015,96.8
116,Arizona,Goods,2016,95.7
117,Arizona,Goods,2017,94.8
118,Arizona,Goods,2018,94.9
119,Arizona,Goods,2019,94.8
120,Arizona,Services: Other,2008,98.8
121,Arizona,Services: Other,2009,98.9
122,Arizona,Services: Other,2010,98.2
123,Arizona,Services: Other,2011,98.2
124,Arizona,Services: Other,2012,97.4
125,Arizona,Services: Other,2013,97.4
126,Arizona,Services: Other,2014,97.3
127,Arizona,Services: Other,2015,98.5
128,Arizona,Services: Other,2016,98.9
129,Arizona,Services: Other,2017,99.5
130,Arizona,Services: Other,2018,99.7
131,Arizona,Services: Other,2019,99.7
132,Arizona,Services: Rents,2008,102.6
133,Arizona,Services: Rents,2009,100.3
134,Arizona,Services: Rents,2010,95.1
135,Arizona,Services: Rents,2011,94.2
136,Arizona,Services: Rents,2012,93.8
137,Arizona,Services: Rents,2013,91.8
138,Arizona,Services: Rents,2014,91.4
139,Arizona,Services: Rents,2015,91.4
140,Arizona,Services: Rents,2016,91.7
141,Arizona,Services: Rents,2017,92.9
142,Arizona,Services: Rents,2018,94.3
143,Arizona,Services: Rents,2019,94.1
144,Arkansas,All items,2008,86.9
145,Arkansas,All items,2009,86.6
